,fc,fl
1158,0.03,0.18
1159,0.03,0.18
1160,0.03,0.18
1161,0.02,0.19
1162,0.02,0.19
1163,0.02,0.19
1164,0.02,0.19
1165,0.02,0.19
1166,0.02,0.19
1167,0.02,0.19
1168,0.02,0.19
1169,0.02,0.19
1170,0.02,0.19
1171,0.02,0.19
1172,0.02,0.19
1173,0.02,0.19
1174,0.02,0.19
1175,0.02,0.19
1176,0.02,0.19
1177,0.02,0.19
1178,0.02,0.18
1179,0.02,0.18
1180,0.02,0.18
1181,0.02,0.18
1182,0.02,0.18
1183,0.02,0.18
1184,0.02,0.18
1185,0.02,0.18
1186,0.02,0.18
1187,0.02,0.18
1188,0.02,0.18
1189,0.02,0.18
1190,0.02,0.18
1191,0.02,0.18
1192,0.02,0.18
1193,0.02,0.18
1194,0.02,0.18
1195,0.02,0.18
1196,0.02,0.18
1197,0.02,0.18
1198,0.02,0.18
1199,0.02,0.18
1200,0.02,0.18
1201,0.02,0.18
1202,0.02,0.18
1203,0.02,0.18
1204,0.02,0.18
1205,0.02,0.18
1206,0.02,0.18
1207,0.02,0.18
1208,0.02,0.18
1209,0.02,0.18
1210,0.02,0.18
1211,0.02,0.18
1212,0.02,0.18
1213,0.02,0.18
1214,0.02,0.18
1215,0.02,0.18
1216,0.02,0.18
1217,0.02,0.18
1218,0.02,0.18
1219,0.02,0.17
1220,0.02,0.17
1221,0.02,0.18
1222,0.02,0.18
1223,0.02,0.18
1224,0.02,0.18
1225,0.02,0.18
1226,0.02,0.18
1227,0.02,0.18
1228,0.02,0.18
1229,0.02,0.18
1230,0.02,0.18
1231,0.02,0.18
1232,0.02,0.18
1233,0.02,0.18
1234,0.02,0.18
1235,0.02,0.18
1236,0.02,0.18
1237,0.02,0.18
1238,0.02,0.18
1239,0.02,0.18
1240,0.02,0.18
1241,0.02,0.18
1242,0.02,0.18
1243,0.02,0.18
1244,0.02,0.18
1245,0.02,0.18
1246,0.02,0.18
1247,0.02,0.18
1248,0.02,0.18
1249,0.02,0.19
1250,0.02,0.19
1251,0.02,0.19
1252,0.02,0.19
1253,0.02,0.19
