,r,t,fc
0,0.9000,504.0,0.35
0,0.9000,505.0,0.34
0,0.9000,506.0,0.34
0,0.9000,507.0,0.34
0,0.9000,508.0,0.34
0,0.9000,509.0,0.34
0,0.9000,510.0,0.34
0,0.9000,511.0,0.34
0,0.9000,512.0,0.34
0,0.9000,513.0,0.34
0,0.9000,514.0,0.34
0,0.9000,515.0,0.34
0,0.9000,516.0,0.34
0,0.9000,517.0,0.34
0,0.9000,518.0,0.34
0,0.9000,519.0,0.34
0,0.9000,520.0,0.35
0,0.9000,521.0,0.35
0,0.9000,522.0,0.35
0,0.9000,523.0,0.35
0,0.9000,524.0,0.35
0,0.9000,525.0,0.36
0,0.9000,526.0,0.36
0,0.9000,527.0,0.37
0,0.9000,528.0,0.37
0,0.9000,529.0,0.37
0,0.9000,530.0,0.37
0,0.9000,531.0,0.37
0,0.9000,532.0,0.37
0,0.9000,533.0,0.37
0,0.9000,534.0,0.37
0,0.9000,535.0,0.37
0,0.9000,536.0,0.37
0,0.9000,537.0,0.38
0,0.9000,538.0,0.38
0,0.9000,539.0,0.38
0,0.9000,540.0,0.38
0,0.9000,541.0,0.39
0,0.9000,542.0,0.39
0,0.9000,543.0,0.4
0,0.9000,544.0,0.4
0,0.9000,545.0,0.4
0,0.9000,546.0,0.4
0,0.9000,547.0,0.4
0,0.9000,548.0,0.4
0,0.9000,549.0,0.4
0,0.9000,550.0,0.4
0,0.9000,551.0,0.4
0,0.9000,552.0,0.4
0,0.9000,553.0,0.4
0,0.9000,554.0,0.4
0,0.9000,555.0,0.4
0,0.9000,556.0,0.4
0,0.9000,557.0,0.4
0,0.9000,558.0,0.39
0,0.9000,559.0,0.39
0,0.9000,560.0,0.39
0,0.9000,561.0,0.39
0,0.9000,562.0,0.39
0,0.9000,563.0,0.39
0,0.9000,564.0,0.39
0,0.9000,565.0,0.39
0,0.9000,566.0,0.39
0,0.9000,567.0,0.39
0,0.9000,568.0,0.38
0,0.9000,569.0,0.38
0,0.9000,570.0,0.38
0,0.9000,571.0,0.37
0,0.9000,572.0,0.37
0,0.9000,573.0,0.36
0,0.9000,574.0,0.35
0,0.9000,575.0,0.35
0,0.9000,576.0,0.35
0,0.9000,577.0,0.35
0,0.9000,578.0,0.34
0,0.9000,579.0,0.34
0,0.9000,580.0,0.35
0,0.9000,581.0,0.35
0,0.9000,582.0,0.35
0,0.9000,583.0,0.35
0,0.9000,584.0,0.35
0,0.9000,585.0,0.35
0,0.9000,586.0,0.35
0,0.9000,587.0,0.35
0,0.9000,588.0,0.35
0,0.9000,589.0,0.35
0,0.9000,590.0,0.34
0,0.9000,591.0,0.34
0,0.9000,592.0,0.34
0,0.9000,593.0,0.33
0,0.9000,594.0,0.33
0,0.9000,595.0,0.33
0,0.9000,596.0,0.33
0,0.9000,597.0,0.33
0,0.9000,598.0,0.34
0,0.9000,599.0,0.34
0,0.9000,600.0,0.34
0,0.9000,601.0,0.34
0,0.9000,602.0,0.34
0,0.9000,603.0,0.33
0,0.9000,604.0,0.33
0,0.9000,605.0,0.33
0,0.9000,606.0,0.33
0,0.9000,607.0,0.33
0,0.9000,608.0,0.33
0,0.9000,609.0,0.33
0,0.9000,610.0,0.33
0,0.9000,611.0,0.32
0,0.9000,612.0,0.32
0,0.9000,613.0,0.31
0,0.9000,614.0,0.31
0,0.9000,615.0,0.31
0,0.9000,616.0,0.3
0,0.9000,617.0,0.3
0,0.9000,618.0,0.3
0,0.9000,619.0,0.3
0,0.9000,620.0,0.3
0,0.9000,621.0,0.3
0,0.9000,622.0,0.3
0,0.9000,623.0,0.3
0,0.9000,624.0,0.29
0,0.9000,625.0,0.29
0,0.9000,626.0,0.29
0,0.9000,627.0,0.29
0,0.9000,628.0,0.29
0,0.9000,629.0,0.29
0,0.9000,630.0,0.29
0,0.9000,631.0,0.29
0,0.9000,632.0,0.29
0,0.9000,633.0,0.29
0,0.9000,634.0,0.29
0,0.9000,635.0,0.29
0,0.9000,636.0,0.29
0,0.9000,637.0,0.29
0,0.9000,638.0,0.29
0,0.9000,639.0,0.28
0,0.9000,640.0,0.28
0,0.9000,641.0,0.27
0,0.9000,642.0,0.27
0,0.9000,643.0,0.27
0,0.9000,644.0,0.27
0,0.9000,645.0,0.27
0,0.9000,646.0,0.27
0,0.9000,647.0,0.27
0,0.9000,648.0,0.26
0,0.9000,649.0,0.26
0,0.9000,650.0,0.26
0,0.9000,651.0,0.26
0,0.9000,652.0,0.26
0,0.9000,653.0,0.25
0,0.9000,654.0,0.25
0,0.9000,655.0,0.25
0,0.9000,656.0,0.25
0,0.9000,657.0,0.26
0,0.9000,658.0,0.26
0,0.9000,659.0,0.26
0,0.9000,660.0,0.25
0,0.9000,661.0,0.25
0,0.9000,662.0,0.25
0,0.9000,663.0,0.25
0,0.9000,664.0,0.25
0,0.9000,665.0,0.25
0,0.9000,666.0,0.25
0,0.9000,667.0,0.25
0,0.9000,668.0,0.24
0,0.9000,669.0,0.24
0,0.9000,670.0,0.24
0,0.9000,671.0,0.24
0,0.9000,672.0,0.24
0,0.9000,673.0,0.24
0,0.9000,674.0,0.24
0,0.9000,675.0,0.24
0,0.9000,676.0,0.24
0,0.9000,677.0,0.23
0,0.9000,678.0,0.23
0,0.9000,679.0,0.23
0,0.9000,680.0,0.23
0,0.9000,681.0,0.23
0,0.9000,682.0,0.23
0,0.9000,683.0,0.23
0,0.9000,684.0,0.23
0,0.9000,685.0,0.23
0,0.9000,686.0,0.23
0,0.9000,687.0,0.23
0,0.9000,688.0,0.23
0,0.9000,689.0,0.23
0,0.9000,690.0,0.23
0,0.9000,691.0,0.23
0,0.9000,692.0,0.23
0,0.9000,693.0,0.23
0,0.9000,694.0,0.23
0,0.9000,695.0,0.23
0,0.9000,696.0,0.23
0,0.9000,697.0,0.23
0,0.9000,698.0,0.23
0,0.9000,699.0,0.23
0,0.9000,700.0,0.22
0,0.9000,701.0,0.22
0,0.9000,702.0,0.22
0,0.9000,703.0,0.22
0,0.9000,704.0,0.23
0,0.9000,705.0,0.23
0,0.9000,706.0,0.23
0,0.9000,707.0,0.23
0,0.9000,708.0,0.23
0,0.9000,709.0,0.23
0,0.9000,710.0,0.22
0,0.9000,711.0,0.22
0,0.9000,712.0,0.22
0,0.9000,713.0,0.22
0,0.9000,714.0,0.22
0,0.9000,715.0,0.22
0,0.9000,716.0,0.22
0,0.9000,717.0,0.22
0,0.9000,718.0,0.22
0,0.9000,719.0,0.22
0,0.9000,720.0,0.22
0,0.9000,721.0,0.21
0,0.9000,722.0,0.21
0,0.9000,723.0,0.21
0,0.9000,724.0,0.2
0,0.9000,725.0,0.2
0,0.9000,726.0,0.2
0,0.9000,727.0,0.2
0,0.9000,728.0,0.2
0,0.9000,729.0,0.2
0,0.9000,730.0,0.2
0,0.9000,731.0,0.2
0,0.9000,732.0,0.2
0,0.9000,733.0,0.2
0,0.9000,734.0,0.2
0,0.9000,735.0,0.2
0,0.9000,736.0,0.2
0,0.9000,737.0,0.2
0,0.9000,738.0,0.2
0,0.9000,739.0,0.2
0,0.9000,740.0,0.19
0,0.9000,741.0,0.19
0,0.9000,742.0,0.19
0,0.9000,743.0,0.19
0,0.9000,744.0,0.19
0,0.9000,745.0,0.19
0,0.9000,746.0,0.19
0,0.9000,747.0,0.19
0,0.9000,748.0,0.19
0,0.9000,749.0,0.19
0,0.9000,750.0,0.19
0,0.9000,751.0,0.19
0,0.9000,752.0,0.19
0,0.9000,753.0,0.19
0,0.9000,754.0,0.19
0,0.9000,755.0,0.19
0,0.9000,756.0,0.19
0,0.9000,757.0,0.19
0,0.9000,758.0,0.19
0,0.9000,759.0,0.19
0,0.9000,760.0,0.19
0,0.9000,761.0,0.19
0,0.9000,762.0,0.19
0,0.9000,763.0,0.19
0,0.9000,764.0,0.19
0,0.9000,765.0,0.19
0,0.9000,766.0,0.19
0,0.9000,767.0,0.19
0,0.9000,768.0,0.19
0,0.9000,769.0,0.19
0,0.9000,770.0,0.19
0,0.9000,771.0,0.19
0,0.9000,772.0,0.19
0,0.9000,773.0,0.19
0,0.9000,774.0,0.19
0,0.9000,775.0,0.19
0,0.9000,776.0,0.19
0,0.9000,777.0,0.19
0,0.9000,778.0,0.19
0,0.9000,779.0,0.19
0,0.9000,780.0,0.19
0,0.9000,781.0,0.19
0,0.9000,782.0,0.19
0,0.9000,783.0,0.19
0,0.9000,784.0,0.2
0,0.9000,785.0,0.2
0,0.9000,786.0,0.2
0,0.9000,787.0,0.2
0,0.9000,788.0,0.2
0,0.9000,789.0,0.2
0,0.9000,790.0,0.2
0,0.9000,791.0,0.2
0,0.9000,792.0,0.19
0,0.9000,793.0,0.19
0,0.9000,794.0,0.18
0,0.9000,795.0,0.17
0,0.9000,796.0,0.17
0,0.9000,797.0,0.17
0,0.9000,798.0,0.17
0,0.9000,799.0,0.17
0,0.9000,800.0,0.17
0,0.9000,801.0,0.17
0,0.9000,802.0,0.17
0,0.9000,803.0,0.17
0,0.9000,804.0,0.16
0,0.9000,805.0,0.16
0,0.9000,806.0,0.16
0,0.9000,807.0,0.16
0,0.9000,808.0,0.16
0,0.9000,809.0,0.16
0,0.9000,810.0,0.16
0,0.9000,811.0,0.17
0,0.9000,812.0,0.17
0,0.9000,813.0,0.17
0,0.9000,814.0,0.18
0,0.9000,815.0,0.17
0,0.9000,816.0,0.17
0,0.9000,817.0,0.17
0,0.9000,818.0,0.17
0,0.9000,819.0,0.17
0,0.9000,820.0,0.16
0,0.9000,821.0,0.16
0,0.9000,822.0,0.16
0,0.9000,823.0,0.15
0,0.9000,824.0,0.15
0,0.9000,825.0,0.15
0,0.9000,826.0,0.15
0,0.9000,827.0,0.15
0,0.9000,828.0,0.15
0,0.9000,829.0,0.16
0,0.9000,830.0,0.16
0,0.9000,831.0,0.16
0,0.9000,832.0,0.16
0,0.9000,833.0,0.16
0,0.9000,834.0,0.15
0,0.9000,835.0,0.15
0,0.9000,836.0,0.15
0,0.9000,837.0,0.15
0,0.9000,838.0,0.15
0,0.9000,839.0,0.16
0,0.9000,840.0,0.16
0,0.9000,841.0,0.16
0,0.9000,842.0,0.16
0,0.9000,843.0,0.16
0,0.9000,844.0,0.16
0,0.9000,845.0,0.16
0,0.9000,846.0,0.16
0,0.9000,847.0,0.16
0,0.9000,848.0,0.16
0,0.9000,849.0,0.16
0,0.9000,850.0,0.16
0,0.9000,851.0,0.16
0,0.9000,852.0,0.16
0,0.9000,853.0,0.16
0,0.9000,854.0,0.16
0,0.9000,855.0,0.16
0,0.9000,856.0,0.16
0,0.9000,857.0,0.16
0,0.9000,858.0,0.16
0,0.9000,859.0,0.16
0,0.9000,860.0,0.16
0,0.9000,861.0,0.15
0,0.9000,862.0,0.15
0,0.9000,863.0,0.15
0,0.9000,864.0,0.15
0,0.9000,865.0,0.14
0,0.9000,866.0,0.14
0,0.9000,867.0,0.14
0,0.9000,868.0,0.14
0,0.9000,869.0,0.15
0,0.9000,870.0,0.15
0,0.9000,871.0,0.14
0,0.9000,872.0,0.14
0,0.9000,873.0,0.14
0,0.9000,874.0,0.14
0,0.9000,875.0,0.14
0,0.9000,876.0,0.14
0,0.9000,877.0,0.14
0,0.9000,878.0,0.14
0,0.9000,879.0,0.14
0,0.9000,880.0,0.14
0,0.9000,881.0,0.15
0,0.9000,882.0,0.16
0,0.9000,883.0,0.16
0,0.9000,884.0,0.16
0,0.9000,885.0,0.16
0,0.9000,886.0,0.16
0,0.9000,887.0,0.17
0,0.9000,888.0,0.17
0,0.9000,889.0,0.17
0,0.9000,890.0,0.17
0,0.9000,891.0,0.17
0,0.9000,892.0,0.17
0,0.9000,893.0,0.17
0,0.9000,894.0,0.17
0,0.9000,895.0,0.17
0,0.9000,896.0,0.17
0,0.9000,897.0,0.18
0,0.9000,898.0,0.18
0,0.9000,899.0,0.18
0,0.9000,900.0,0.18
0,0.9000,901.0,0.18
0,0.9000,902.0,0.18
0,0.9000,903.0,0.18
0,0.9000,904.0,0.18
0,0.9000,905.0,0.18
0,0.9000,906.0,0.18
0,0.9000,907.0,0.18
0,0.9000,908.0,0.17
0,0.9000,909.0,0.16
0,0.9000,910.0,0.16
0,0.9000,911.0,0.16
0,0.9000,912.0,0.16
0,0.9000,913.0,0.17
0,0.9000,914.0,0.17
0,0.9000,915.0,0.17
0,0.9000,916.0,0.17
0,0.9000,917.0,0.17
0,0.9000,918.0,0.17
0,0.9000,919.0,0.17
0,0.9000,920.0,0.17
0,0.9000,921.0,0.17
0,0.9000,922.0,0.17
0,0.9000,923.0,0.17
0,0.9000,924.0,0.17
0,0.9000,925.0,0.17
0,0.9000,926.0,0.17
0,0.9000,927.0,0.17
0,0.9000,928.0,0.17
0,0.9000,929.0,0.17
0,0.9000,930.0,0.17
0,0.9000,931.0,0.17
