,r,t,fc
0,0.1000,679.0,0.06
0,0.1000,680.0,0.06
0,0.1000,681.0,0.06
0,0.1000,682.0,0.06
0,0.1000,683.0,0.06
0,0.1000,684.0,0.06
0,0.1000,685.0,0.06
0,0.1000,686.0,0.06
0,0.1000,687.0,0.06
0,0.1000,688.0,0.06
0,0.1000,689.0,0.06
0,0.1000,690.0,0.06
0,0.1000,691.0,0.06
0,0.1000,692.0,0.06
0,0.1000,693.0,0.06
0,0.1000,694.0,0.06
0,0.1000,695.0,0.06
0,0.1000,696.0,0.06
0,0.1000,697.0,0.06
0,0.1000,698.0,0.06
0,0.1000,699.0,0.06
0,0.1000,700.0,0.06
0,0.1000,701.0,0.06
0,0.1000,702.0,0.06
0,0.1000,703.0,0.06
0,0.1000,704.0,0.06
0,0.1000,705.0,0.06
0,0.1000,706.0,0.06
0,0.1000,707.0,0.06
0,0.1000,708.0,0.06
0,0.1000,709.0,0.07
0,0.1000,710.0,0.07
0,0.1000,711.0,0.07
0,0.1000,712.0,0.07
0,0.1000,713.0,0.07
0,0.1000,714.0,0.07
0,0.1000,715.0,0.07
0,0.1000,716.0,0.07
0,0.1000,717.0,0.07
0,0.1000,718.0,0.06
0,0.1000,719.0,0.06
0,0.1000,720.0,0.06
0,0.1000,721.0,0.06
0,0.1000,722.0,0.06
0,0.1000,723.0,0.06
0,0.1000,724.0,0.06
0,0.1000,725.0,0.06
0,0.1000,726.0,0.05
0,0.1000,727.0,0.05
0,0.1000,728.0,0.05
0,0.1000,729.0,0.05
0,0.1000,730.0,0.06
0,0.1000,731.0,0.06
0,0.1000,732.0,0.06
0,0.1000,733.0,0.06
0,0.1000,734.0,0.06
0,0.1000,735.0,0.06
0,0.1000,736.0,0.06
0,0.1000,737.0,0.06
0,0.1000,738.0,0.06
0,0.1000,739.0,0.05
0,0.1000,740.0,0.05
0,0.1000,741.0,0.05
0,0.1000,742.0,0.05
0,0.1000,743.0,0.05
0,0.1000,744.0,0.05
0,0.1000,745.0,0.05
0,0.1000,746.0,0.05
0,0.1000,747.0,0.05
0,0.1000,748.0,0.05
0,0.1000,749.0,0.05
0,0.1000,750.0,0.05
0,0.1000,751.0,0.05
0,0.1000,752.0,0.05
0,0.1000,753.0,0.05
0,0.1000,754.0,0.05
0,0.1000,755.0,0.05
0,0.1000,756.0,0.05
0,0.1000,757.0,0.05
0,0.1000,758.0,0.05
0,0.1000,759.0,0.05
0,0.1000,760.0,0.04
0,0.1000,761.0,0.04
0,0.1000,762.0,0.04
0,0.1000,763.0,0.04
0,0.1000,764.0,0.04
0,0.1000,765.0,0.04
0,0.1000,766.0,0.04
0,0.1000,767.0,0.04
0,0.1000,768.0,0.04
0,0.1000,769.0,0.04
0,0.1000,770.0,0.04
0,0.1000,771.0,0.04
0,0.1000,772.0,0.04
0,0.1000,773.0,0.04
0,0.1000,774.0,0.04
0,0.1000,775.0,0.04
0,0.1000,776.0,0.04
0,0.1000,777.0,0.05
0,0.1000,778.0,0.05
0,0.1000,779.0,0.05
0,0.1000,780.0,0.05
0,0.1000,781.0,0.05
0,0.1000,782.0,0.05
0,0.1000,783.0,0.05
0,0.1000,784.0,0.05
0,0.1000,785.0,0.05
0,0.1000,786.0,0.05
0,0.1000,787.0,0.05
0,0.1000,788.0,0.05
0,0.1000,789.0,0.05
0,0.1000,790.0,0.05
0,0.1000,791.0,0.05
0,0.1000,792.0,0.05
0,0.1000,793.0,0.05
0,0.1000,794.0,0.05
0,0.1000,795.0,0.05
0,0.1000,796.0,0.05
0,0.1000,797.0,0.05
0,0.1000,798.0,0.05
0,0.1000,799.0,0.05
0,0.1000,800.0,0.05
0,0.1000,801.0,0.05
0,0.1000,802.0,0.05
0,0.1000,803.0,0.05
0,0.1000,804.0,0.05
0,0.1000,805.0,0.05
0,0.1000,806.0,0.06
0,0.1000,807.0,0.06
0,0.1000,808.0,0.06
0,0.1000,809.0,0.06
0,0.1000,810.0,0.06
0,0.1000,811.0,0.06
0,0.1000,812.0,0.06
0,0.1000,813.0,0.05
0,0.1000,814.0,0.05
0,0.1000,815.0,0.05
0,0.1000,816.0,0.05
0,0.1000,817.0,0.05
0,0.1000,818.0,0.05
0,0.1000,819.0,0.05
0,0.1000,820.0,0.04
0,0.1000,821.0,0.04
0,0.1000,822.0,0.04
0,0.1000,823.0,0.04
0,0.1000,824.0,0.04
0,0.1000,825.0,0.04
0,0.1000,826.0,0.04
0,0.1000,827.0,0.04
0,0.1000,828.0,0.04
0,0.1000,829.0,0.04
0,0.1000,830.0,0.04
0,0.1000,831.0,0.04
0,0.1000,832.0,0.04
0,0.1000,833.0,0.04
0,0.1000,834.0,0.04
0,0.1000,835.0,0.04
